DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
06.07.21,1,6,0,4653,3525,6120,1380,0,71,56,113,26820,180,62,55,74,0,180
07.07.21,2,6,0,5575,4531,7020,2700,0,71,38,112,26160,120,59,51,67,0,120
08.07.21,3,6,0,13567,10908,10800,7140,0,75,41,182,25080,120,63,55,71,0,120
09.07.21,4,6,0,12940,9851,15241,2880,1080,72,46,130,22920,660,61,54,76,0,1440
10.07.21,5,6,0,7125,5285,17640,1800,0,67,59,82,11220,180,70,64,80,0,180
11.07.21,6,6,0,18261,13694,15181,9779,0,77,42,106,27840,120,63,53,73,1,900
12.07.21,0,6,0,8324,6340,10441,3360,0,71,40,115,23580,120,,,,0,120
13.07.21,1,6,0,5155,4061,9300,1800,0,70,46,118,30540,120,60,49,67,2,1800
14.07.21,2,6,0,5329,4157,8940,1620,0,68,44,115,32040,120,63,54,71,2,900
15.07.21,3,6,0,5108,3913,8160,1440,0,67,46,116,27840,540,59,53,78,0,540
16.07.21,4,6,0,10814,8179,20974,3901,0,78,52,125,25980,0,59,50,111,1,780
17.07.21,5,6,0,12488,8864,21540,1980,0,79,57,128,20820,120,64,57,72,1,420
18.07.21,6,6,0,13531,9594,29102,1921,0,78,42,163,21840,120,58,48,68,0,180
19.07.21,0,6,0,4299,3452,5040,2160,0,68,48,120,20700,480,66,61,76,0,480
20.07.21,1,6,0,8297,6297,8279,3061,0,73,53,120,30000,120,57,48,66,0,120
21.07.21,2,6,0,9988,7874,6600,6240,0,73,53,119,31680,120,61,50,108,1,1080
22.07.21,3,6,0,5677,4409,6061,2700,0,70,50,117,24420,120,60,53,66,0,120
